ToolName	DataSource	SourceField	ID	Number	Type	Label	Description	Category	URL	DataURL	Hidden	AllowableValues	Category_dbNSFP	IsIndexed
LiftOver	LiftOver	ReverseComplementedAlleles	ReverseComplementedAlleles	INTEGER	Flag	GRCh37 Reverse Complemented	"If true, the lifted position in GRCh37 is reverse complemented relative to this genome"	Genes and Gene Predictions						true
LiftOver	LiftOver	LF	LF	INTEGER	String	Unable to Lift to Human		Genes and Gene Predictions						
Cassandra	Cassandra	CADD_PH	CADD_PH			CADD Functional Prediction Score		Predicted Function						
Cassandra	Cassandra	CADD_RS	CADD_RS					Legacy Fields						
Cassandra	Cassandra	CCDS	CCDS					Legacy Fields						
Cassandra	Cassandra	CLN_ALLELE	CLN_ALLELE			ClinVar Allele		Phenotypic Data						
Cassandra	Cassandra	CLN_DBVARID	CLN_DBVARID			ClinVar dbVAR Accessions		Phenotypic Data						
Cassandra	Cassandra	CLN_DISDB	CLN_DISDB					Legacy Fields						
Cassandra	Cassandra	CLN_DISDBINCL	CLN_DISDBINCL					Legacy Fields						
Cassandra	Cassandra	CLN_GENEINFO	CLN_GENEINFO			ClinVar Gene(s)		Phenotypic Data						
Cassandra	Cassandra	CLN_HGVS	CLN_HGVS					Legacy Fields						
Cassandra	Cassandra	CLN_MC	CLN_MC					Legacy Fields						
Cassandra	Cassandra	CLN_ORIGIN	CLN_ORIGIN					Legacy Fields						
Cassandra	Cassandra	CLN_RS	CLN_RS			ClinVar RS Numbers		Phenotypic Data						
Cassandra	Cassandra	CLN_SIGINCL	CLN_SIGINCL					Legacy Fields						
Cassandra	Cassandra	CLN_SSR	CLN_SSR					Legacy Fields						
Cassandra	Cassandra	CLN_VC	CLN_VC					Legacy Fields						
Cassandra	Cassandra	CLN_VCSO	CLN_VCSO					Legacy Fields						
Cassandra	Cassandra	CLN_VI	CLN_VI			ClinVar Sources		Phenotypic Data						
Cassandra	Cassandra	ENC	ENC			ENCODE Class		Regulatory Data						
Cassandra	Cassandra	ENCDNA_CT	ENCDNA_CT					Legacy Fields						
Cassandra	Cassandra	ENCDNA_SC	ENCDNA_SC			ENCODE DNase Sensitivity Score		Legacy Fields						
Cassandra	Cassandra	ENCSEG_NM	ENCSEG_NM			ENCODE Segmentation Status		Regulatory Data						
Cassandra	Cassandra	ENCTFBS_CL	ENCTFBS_CL					Legacy Fields						
Cassandra	Cassandra	ENCTFBS_SC	ENCTFBS_SC			ENCODE Transcription Factor Binding Site Score		Regulatory Data						
Cassandra	Cassandra	ENCTFBS_TF	ENCTFBS_TF			ENCODE Transcription Factors		Regulatory Data						
Cassandra	Cassandra	ENN	ENN			ENCODE Feature Name		Regulatory Data						
Cassandra	Cassandra	ERBCTA_CT	ERBCTA_CT					Legacy Fields						
Cassandra	Cassandra	ERBCTA_NM	ERBCTA_NM			Ensembl Regulatory Build Predicted State		Regulatory Data						
Cassandra	Cassandra	ERBCTA_SC	ERBCTA_SC					Legacy Fields						
Cassandra	Cassandra	ERBSEG_CT	ERBSEG_CT					Legacy Fields						
Cassandra	Cassandra	ERBSEG_NM	ERBSEG_NM					Legacy Fields						
Cassandra	Cassandra	ERBSEG_SC	ERBSEG_SC					Legacy Fields						
Cassandra	Cassandra	ERBSUM_NM	ERBSUM_NM					Legacy Fields						
Cassandra	Cassandra	ERBSUM_SC	ERBSUM_SC					Legacy Fields						
Cassandra	Cassandra	ERBTFBS_PB	ERBTFBS_PB					Legacy Fields						
Cassandra	Cassandra	ERBTFBS_TF	ERBTFBS_TF					Legacy Fields						
Cassandra	Cassandra	FC	FC			Probable Promoter (FAMTOM5)		Predicted Function						
Cassandra	Cassandra	FE	FE			Probable Enhancer (FANTOM5)		Predicted Function						
Cassandra	Cassandra	FS_EN	FS_EN			Funseq Annotated?		Regulatory Data						
Cassandra	Cassandra	FS_NS	FS_NS			Funseq Noncoding Score		Regulatory Data						
Cassandra	Cassandra	FS_SC	FS_SC			Funseq Non-coding Score		Regulatory Data						
Cassandra	Cassandra	FS_SN	FS_SN			Funseq Sensitive Region?		Regulatory Data						
Cassandra	Cassandra	FS_TG	FS_TG			Funseq Target Gene?		Regulatory Data						
Cassandra	Cassandra	FS_US	FS_US			Funseq Ultra-Sensitive Region?		Regulatory Data						
Cassandra	Cassandra	FS_WS	FS_WS			Funseq Score		Regulatory Data						
Cassandra	Cassandra	GRASP_AN	GRASP_AN			GRASP Ancestry		Phenotypic Data						
Cassandra	Cassandra	GRASP_P	GRASP_P			GRASP p-value		Phenotypic Data						
Cassandra	Cassandra	GRASP_PH	GRASP_PH			GRASP Phenotype		Phenotypic Data						
Cassandra	Cassandra	GRASP_PL	GRASP_PL			GRASP Platform		Phenotypic Data						
Cassandra	Cassandra	GRASP_PMID	GRASP_PMID			GRASP PMID		Phenotypic Data						
Cassandra	Cassandra	GRASP_RS	GRASP_RS			GRASP SNP RS Number		Phenotypic Data						
Cassandra	Cassandra	LOF	LOF			Predicted Loss-of-function		Predicted Function						
Cassandra	Cassandra	NA	NA					Legacy Fields						
Cassandra	Cassandra	NC	NC			nsdb SIFT Score		Predicted Function						
Cassandra	Cassandra	NE	NE			PolyPhen2 Score		Predicted Function						
Cassandra	Cassandra	NF	NF			PolyPhen2 Prediction		Predicted Function						
Cassandra	Cassandra	NG	NG			nsdb LRT Score		Predicted Function						
Cassandra	Cassandra	NH	NH			nsdb LRT Prediction		Predicted Function						
Cassandra	Cassandra	NJ	NJ			MutationTaster Prediction		Predicted Function						
Cassandra	Cassandra	NK	NK			MutationAssessor Score		Predicted Function						
Cassandra	Cassandra	NL	NL			MutationAssessor Prediction		Predicted Function						
Cassandra	Cassandra	NM	NM					Legacy Fields						
Cassandra	Cassandra	OMIMC	OMIMC			OMIM Comments		Phenotypic Data						
Cassandra	Cassandra	OMIMD	OMIMD			OMIM Disorders		Phenotypic Data						
Cassandra	Cassandra	OMIMM	OMIMM			OMIM Method		Phenotypic Data						
Cassandra	Cassandra	OMIMMUS	OMIMMUS			OMIM Mouse Correlate		Phenotypic Data						
Cassandra	Cassandra	OMIMN	OMIMN			OMIM Number		Phenotypic Data						
Cassandra	Cassandra	OMIMS	OMIMS			OMIM Status		Phenotypic Data						
Cassandra	Cassandra	OMIMT	OMIMT			OMIM Title		Phenotypic Data						
Cassandra	Cassandra	OREGANNO_PMID	OREGANNO_PMID					Legacy Fields						
Cassandra	Cassandra	OREGANNO_TYPE	OREGANNO_TYPE					Legacy Fields						
Cassandra	Cassandra	PC_PL	PC_PL			Conservation Score Among 46 Placental Mammals (PhastCons)		Comparative/Evolutionary Genomics						
Cassandra	Cassandra	PC_PR	PC_PR			Conservation Score Among 46 Primates (PhastCons)		Comparative/Evolutionary Genomics						
Cassandra	Cassandra	PC_VB	PC_VB			Conservation Score Among 100 Vertebrate Species (PhastCons)		Comparative/Evolutionary Genomics						
Cassandra	Cassandra	PP_PL	PP_PL			Conservation Score Among 46 Placental Mammals (Phylop)		Comparative/Evolutionary Genomics						
Cassandra	Cassandra	PP_PR	PP_PR			Conservation Score Among 46 Primates (Phylop)		Comparative/Evolutionary Genomics						
Cassandra	Cassandra	PP_VB	PP_VB			Conservation Score Among 100 Vertebrate Species (Phylop)		Comparative/Evolutionary Genomics						
Cassandra	Cassandra	RDB_MF	RDB_MF			RegulomeDB Motifs		Regulatory Data						
Cassandra	Cassandra	RDB_WS	RDB_WS			RegulomeDB Score		Regulatory Data						
Cassandra	Cassandra	RFG	RFG			Mutation Type (RefSeq)		Predicted Function						
Cassandra	Cassandra	RSID	RSID					Legacy Fields						
Cassandra	Cassandra	SCSNV_ADA	SCSNV_ADA					Legacy Fields						
Cassandra	Cassandra	SCSNV_RS	SCSNV_RS					Legacy Fields						
Cassandra	Cassandra	SD	SD			Swiss Prot Disease Annotations		Predicted Function						
Cassandra	Cassandra	SF	SF			Swiss Prot Protein Function		Legacy Fields						
Cassandra	Cassandra	SM	SM			Swiss Prot Post-translational Modifications		Predicted Function						
Cassandra	Cassandra	SOR	SOR					Legacy Fields						
Cassandra	Cassandra	SP_SC	SP_SC					Legacy Fields						
Cassandra	Cassandra	SX	SX			Swiss Prot Expression		Predicted Function						
Cassandra	Cassandra	TMAF	TMAF			1000Genomes Allele Frequency		Legacy Fields						
ClinVar	ClinVar	CLN_ALLELEID	CLN_ALLELEID	R	String	ClinVar Allele ID	The ClinVar Allele ID	Genes and Gene Predictions	https://www.ncbi.nlm.nih.gov/clinvar/				Functional Predictions	true
ClinVar	ClinVar	CLN_DN	CLN_DN	R	String	Clinvar Disease Name	ClinVar's preferred disease name for the concept specified by disease identifiers in CLNDISDB	Genes and Gene Predictions	https://www.ncbi.nlm.nih.gov/clinvar/				Functional Predictions	true
ClinVar	ClinVar	CLN_DNINCL	CLN_DNINCL	R	String	Clinvar Disease (Included Variant)	"ClinVar's preferred disease name for the concept specified by disease identifiers in CLNDISDB. Unlike CLNDN annotation, which is based on evidence linked to a specific variant, this annotation refers to variants indirectly linked to a disease, such as a variant that is part of a haplotype or genotype that is linked to the disease."	Genes and Gene Predictions	https://www.ncbi.nlm.nih.gov/clinvar/				Functional Predictions	true
ClinVar	ClinVar	CLN_REVSTAT	CLN_REVSTAT	R	String	Clinvar Review Status	ClinVar review status for the Variation ID	Genes and Gene Predictions	https://www.ncbi.nlm.nih.gov/clinvar/				Functional Predictions	true
ClinVar	ClinVar	CLN_SIG	CLN_SIG	R	String	Clinvar Clinical Signifigance	Clinical significance for this single variant	Genes and Gene Predictions	https://www.ncbi.nlm.nih.gov/clinvar/				Functional Predictions	true
