ToolName	DataSource	SourceField	ID	Number	Type	Label	Description	Category	URL	DataURL	Hidden	AllowableValues	IsIndexed	InDefaultColumns
Funcotator	Familial_Cancer_Genes	Syndrome	Fam_Synd	UNBOUNDED	String	Familial Cancer Genes	" A mapping of Familial Cancer Genes. This mapping goes from Gene Name to Syndrome, with Synonyms for the Syndrome itself and the Reference from which the association was created. Any implicated gene overlapping this variant is annotated."	Genes and Gene Predictions	http://www.broadinstitute.org/oncotator/	ftp://gsapubftp-anonymous@ftp.broadinstitute.org/bundle/oncotator/				
Funcotator	FANTOM_ENHANCER	ENHANCERID	FANTOM_ENHNCRID	UNBOUNDED	String	FANTOM ENHANCER ID	"FANTOM5 used Cap Analysis of Gene Expression (CAGE) to map the sets of transcripts, transcription factors, promoters and enhancers active in the majority of mammalian primary cell types. This is the ID of overlapping enhancer elements"	Genes and Gene Predictions	https://www.internationalgenome.org/data-portal/sample	funcotator bundle			true	
Funcotator	FANTOM_ENHANCER	SCORE	FANTOM_SCORE	UNBOUNDED	String	FANTOM Enhancer Score	"FANTOM5 used Cap Analysis of Gene Expression (CAGE) to map the sets of transcripts, transcription factors, promoters and enhancers active in the majority of mammalian primary cell types. This is a score associated with overlapping enhancer elements"	Genes and Gene Predictions	https://www.internationalgenome.org/data-portal/sample	https://fantom.gsc.riken.jp/5/datafiles/latest/extra/Enhancers/human_permissive_enhancers_phase_1_and_2.bed.gz			true	
Funcotator	FANTOM_ENHANCER	STRAND	FANTOM_STRND	UNBOUNDED	String	FATHOM Enhancer STRAND	This is the strand of the overlapping enhancer	Genes and Gene Predictions	https://www.internationalgenome.org/data-portal/sample				true	
Funcotator	FANTOM5_TFBS	SCORE	FANTOM_TFBS_SCORE	UNBOUNDED	Float	FANTOM TFBS SCORE	"The transcription factor binding score, computed by FANTOM"	Genes and Gene Predictions	https://fantom.gsc.riken.jp/5/	https://fantom.gsc.riken.jp/5/datafiles/phase1.3/extra/Motifs/TFBS/sites.txt.bz2			true	
Funcotator	FANTOM5_TFBS	STRAND	FANTOM_TFBS_STRAND	UNBOUNDED	String	FANTOM TFBS Factor Strand	"The strand on which the overlapping TFBS is predicted, computed by FANTOM"	Genes and Gene Predictions	https://fantom.gsc.riken.jp/5/	https://fantom.gsc.riken.jp/5/datafiles/phase1.3/extra/Motifs/TFBS/sites.txt.bz2			true	
Funcotator	FANTOM5_TFBS	TF	FANTOM_TF	UNBOUNDED	String	FANTOM Transcription Factor	"Transcription factor binding predicted to overlap this variant, computed by FANTOM"	Genes and Gene Predictions	https://fantom.gsc.riken.jp/5/	https://fantom.gsc.riken.jp/5/datafiles/phase1.3/extra/Motifs/TFBS/sites.txt.bz2			true	
Funcotator	FATHMM_MKL	F_C	F_C	A	Float	FATHMM Score	"This is the fathmm-MKL coding score, which is a prediction of the functional consequence of the variant. Predictions are given as p-values in the range [0, 1]: values above 0.5 are predicted to be deleterious, while those below 0.5 are predicted to be neutral or benign. P-values close to the extremes (0 or 1) are the highest-confidence predictions that yield the highest accuracy"	Comparative Genomics	http://fathmm.biocompute.org.uk/	http://fathmm.biocompute.org.uk/database/fathmm-MKL_Current.tab.gz			true	
Funcotator	FATHMM_MKL	F_CG	F_CG	A	String	FATHMM Functional Group	"These are the functional groups defined by the fathmm-MKL coding score, indicating the categories of functional consequence. See the fanthamm paper for their meanings"	Comparative Genomics	http://fathmm.biocompute.org.uk/	http://fathmm.biocompute.org.uk/database/fathmm-MKL_Current.tab.gz			true	
Funcotator	FATHMM_MKL	F_NC	F_NC	A	Float	FATHMM Non-Coding Score	"This is the fathmm-MKL noncoding score, which is a prediction of the functional consequence of the variant. Predictions are given as p-values in the range [0, 1]: values above 0.5 are predicted to be deleterious, while those below 0.5 are predicted to be neutral or benign. P-values close to the extremes (0 or 1) are the highest-confidence predictions that yield the highest accuracy"	Comparative Genomics	http://fathmm.biocompute.org.uk/	http://fathmm.biocompute.org.uk/database/fathmm-MKL_Current.tab.gz			true	
Funcotator	FATHMM_MKL	F_NCG	F_NCG	A	String	FATHMM Non-Coding Group	"These are the functional groups defined by the fathmm-MKL non-coding score, indicating the categories of functional consequence. See the fanthamm paper for their meanings"	Comparative Genomics	http://fathmm.biocompute.org.uk/	http://fathmm.biocompute.org.uk/database/fathmm-MKL_Current.tab.gz			false	
Funcotator	funseq2	FS2	FS2	UNBOUNDED	Float	Funseq2 Non-coding Score	Funseq2 is designed to prioritize regulatory variants form cancer genome sequencing. This score is intended to predict the effect of non-coding variants.	Genes and Gene Predictions	http://funseq2.gersteinlab.org/	http://org.gersteinlab.funseq.s3-website-us-east-1.amazonaws.com/funseq2/hg19_wg_score.tsv.gz			true	
Funcotator	gnomAD	AF	AF_gnomAD	A	Float	gnomAD Allele frequency	"Allele frequency from The Genome Aggregation Database (gnomAD) is a resource developed by an international coalition of investigators, with the goal of aggregating and harmonizing both exome and genome sequencing data from a wide variety of large-scale sequencing projects, and making summary data available for the wider scientific community."	Comparative Genomics	https://gnomad.broadinstitute.org/news/2020-10-gnomad-v3-1-new-content-methods-annotations-and-data-availability/	gs://gnomad-public/release/2.1/vcf/genomes/gnomad.genomes.r2.1.sites.vcf.bgz			true	
Funcotator	gnomAD	AF_afr	gnomAD_AF_afr	A	Float	gnomAD Allele frequency of African Individuals	"AF_afr african allele frequency from The Genome Aggregation Database (gnomAD) is a resource developed by an international coalition of investigators, with the goal of aggregating and harmonizing both exome and genome sequencing data from a wide variety of large-scale sequencing projects, and making summary data available for the wider scientific community."	Comparative Genomics	https://gnomad.broadinstitute.org/news/2020-10-gnomad-v3-1-new-content-methods-annotations-and-data-availability/	gs://gnomad-public/release/2.1/vcf/genomes/gnomad.genomes.r2.1.sites.vcf.bgz				
Funcotator	gnomAD	AF_amr	gnomAD_AF_amr	A	Float	gnomAD Allele frequency of American Individuals	"AF_amr is the american allele frequency The Genome Aggregation Database (gnomAD) is a resource developed by an international coalition of investigators, with the goal of aggregating and harmonizing both exome and genome sequencing data from a wide variety of large-scale sequencing projects, and making summary data available for the wider scientific community."	Comparative Genomics	https://gnomad.broadinstitute.org/news/2020-10-gnomad-v3-1-new-content-methods-annotations-and-data-availability/	gs://gnomad-public/release/2.1/vcf/genomes/gnomad.genomes.r2.1.sites.vcf.bgz				
Funcotator	gnomAD	AF_asj	gnomAD_AF_AsJ	A	Float	gnomAD Allele frequency of Ashkenazi Jewish Individuals	"AF_asjAshkenazi Jewish allele frequency The Genome Aggregation Database (gnomAD) is a resource developed by an international coalition of investigators, with the goal of aggregating and harmonizing both exome and genome sequencing data from a wide variety of large-scale sequencing projects, and making summary data available for the wider scientific community."	Comparative Genomics	https://gnomad.broadinstitute.org/news/2020-10-gnomad-v3-1-new-content-methods-annotations-and-data-availability/	gs://gnomad-public/release/2.1/vcf/genomes/gnomad.genomes.r2.1.sites.vcf.bgz				
Funcotator	gnomAD	AF_nfe	gnomAD_AF_nfe	A	Float	gnomAD Allele frequency of Non-Finnish European Individuals	AF_nfe non finnish european allele frequency Allele frequency from The Genome Aggregation Database (gnomAD)	Comparative Genomics	https://gnomad.broadinstitute.org/news/2020-10-gnomad-v3-1-new-content-methods-annotations-and-data-availability/	gs://gnomad-public/release/2.1/vcf/genomes/gnomad.genomes.r2.1.sites.vcf.bgz				
Funcotator	LMMKnown	LMM_FLAGGED	LMM_FLAGGED	A	String	LMM DNA Repair	"Variants flagged as possibly having pathogenic effects found by the Laboratory for Molecular Medicine (LMM). A table of genes implicated in the repair of DNA. This is an update of the table cited in Wood RD, Mitchell M, & Lindahl T Mutation Research, 2005, in Science, 2001, in the reference book DNA Repair and Mutagenesis, 2nd edition, 2006, and in Nature Reviews Cancer, 2011."	Genes and Gene Predictions	https://personalizedmedicine.partners.org/laboratory-for-molecular-medicine/	gs://gnomad-public/release/2.1/vcf/genomes/gnomad.genomes.r2.1.sites.vcf.bgz				
Funcotator	Omim	GENESYMBOL	OMIM_GENESYMBOL	UNBOUNDED	String	OMIM Gene	The Ensembl gene symbol for overlapping OMIM genes	Genes and Gene Predictions	https://omim.org/	https://omim.org/static/omim/data/genemap2.txt			true	
Funcotator	Omim	MIMNUMBER	MIMNUMBER	UNBOUNDED	String	OMIM ID	The OMIM ID number for gene/phenotypes overlapping this variant	Genes and Gene Predictions	https://omim.org/	https://omim.org/static/omim/data/genemap2.txt			true	
Funcotator	Omim	PHENOTYPES	OMIM_PHENO	UNBOUNDED	String	OMIM Disorder/Phenotype(s)	OMIM phenotypes associated with an overlapping gene	Genes and Gene Predictions	https://omim.org/	https://omim.org/static/omim/data/genemap2.txt			true	
Funcotator	Oreganno	Values	OR_V	UNBOUNDED	String	Oreganno Known Regulatory Elements	This lists known regulatory elements overlapping this variant	Variation and Repeats	https://www.bcgsc.ca/resources/software/oreganno	http://www.oreganno.org/dump/ORegAnno_Combined_2016.01.19.tsv			true	
Funcotator	phylop_placental	PHYLOP_PLACENTAL	PHYLOP_PLCNTL	UNBOUNDED	Float	Phylop Conservation Score in Placental Mammals	"Phylop conservation scores PhyloP basewise conservation score derived from Multiz alignment of 46 vertebrate species. This series includes two SGA files, one for all vertebrates and one for placental mammals only."	Comparative Genomics	https://ccg.epfl.ch/mga/hg19/phylop/phylop.html	https://ccg.epfl.ch/mga/hg19/phylop/phylop_placental.sga.gz			true	
Funcotator	phylop_vert	PHYLOP_VERT	PHYLOP_VRT	UNBOUNDED	Float	Phylop Conservation Score in Vertebrates	"Phylop conservation scores PhyloP basewise conservation score derived from Multiz alignment of 46 vertebrate species. This series includes two SGA files, one for all vertebrates and one for vertabrates."	Comparative Genomics	https://ccg.epfl.ch/mga/hg19/phylop/phylop.html	https://ccg.epfl.ch/mga/hg19/phylop/phylop_placental.sga.gz			true	
Funcotator	Simple_Uniprot	GO_Biological_Process	GO_BP	UNBOUNDED	String	GO Biological Process	The GO biological process of overlapping genes	Genes and Gene Predictions	http://geneontology.org/	ftp://gsapubftp-anonymous@ftp.broadinstitute.org/bundle/oncotator/				
Funcotator	Simple_Uniprot	GO_Cellular_Component	GO_CC	UNBOUNDED	String	GO Cellular Component	The GO cellular component of overlapping genes	Genes and Gene Predictions	http://geneontology.org/	ftp://gsapubftp-anonymous@ftp.broadinstitute.org/bundle/oncotator/				
Funcotator	Simple_Uniprot	GO_Molecular_Function	GO_MF	UNBOUNDED	String	GO Molecular Function	The GO molecular function of overlapping genes	Genes and Gene Predictions	http://geneontology.org/	ftp://gsapubftp-anonymous@ftp.broadinstitute.org/bundle/oncotator/				
Funcotator	Siphy	BranchLength	SP_BL	A	String	Siphy Base Selection	Detects bases under selection. Reports the branch length of the 29 mammals with omega lods elements and fdr of .01 to compute branch lengths	Genes and Gene Predictions	http://portals.broadinstitute.org/genome_bio/siphy/index.html	www.broadinstitute.org/ftp/pub/assemblies/mammals/29mammals/hg19/hg19_29way_omega_lods_elements_12mers.chr_specific.fdr_0.1_with_scores.txt.gz				
Funcotator	Siphy	LODSCORE	SP_LODSCORE	A	Float	Siphy LOD SCORE	Detects bases under selection. This is the theoretical chis-sequared p-value of the obtained log-odds ratio.	Genes and Gene Predictions	http://portals.broadinstitute.org/genome_bio/siphy/index.html	www.broadinstitute.org/ftp/pub/assemblies/mammals/29mammals/hg19/hg19_29way_omega_lods_elements_12mers.chr_specific.fdr_0.1_with_scores.txt.gz				
Funcotator	dbNSFP	VEP_canonical	VEP_canonical	A	String	VEP canonical	HGVSc_VEP: HGVS coding variant presentation from VEP	Functional Predictions						
Funcotator	dbNSFP	Aloft_Confidence	Aloft_Confidence	A	String	Aloft Confidence	"Confidence level of Aloft_pred;  values can be High Confidence (p < 0.05) or Low Confidence (p > 0.05)  multiple values separated by ;, corresponding to Ensembl_proteinid."	Functional Predictions	http://aloft.gersteinlab.org/					
Funcotator	dbNSFP	Aloft_Fraction_transcripts_affected	Aloft_Fraction_transcripts_affected	A	String	Aloft Fraction transcripts affected	"the fraction of the transcripts of the gene affected  i.e. No. of transcripts affected by the SNP/Total no. of protein_coding transcripts for the gene  multiple values separated by ;, corresponding to Ensembl_proteinid."	Functional Predictions	http://aloft.gersteinlab.org/					
Funcotator	dbNSFP	Aloft_pred	Aloft_pred	A	String	Aloft pred	"final classification predicted by ALoFT;  values can be Tolerant, Recessive or Dominant  multiple values separated by ;, corresponding to Ensembl_proteinid."	Functional Predictions	http://aloft.gersteinlab.org/					
Funcotator	dbNSFP	Aloft_prob_Dominant	Aloft_prob_Dominant	A	String	Aloft prob Dominant	"Probability of the SNP being classified as dominant disease-causing by ALoFT  multiple values separated by ;, corresponding to Ensembl_proteinid."	Functional Predictions	http://aloft.gersteinlab.org/					
Funcotator	dbNSFP	Aloft_prob_Recessive	Aloft_prob_Recessive	A	String	Aloft prob Recessive	"Probability of the SNP being classified as recessive disease-causing by ALoFT  multiple values separated by ;, corresponding to Ensembl_proteinid."	Functional Predictions	http://aloft.gersteinlab.org/					
Funcotator	dbNSFP	Aloft_prob_Tolerant	Aloft_prob_Tolerant	A	String	Aloft prob Tolerant	"Probability of the SNP being classified as benign by ALoFT  multiple values separated by ;, corresponding to Ensembl_proteinid."	Functional Predictions	http://aloft.gersteinlab.org/					
Funcotator	dbNSFP	BayesDel_addAF_pred	BayesDel_addAF_pred	A	String	BayesDel addAF pred	"Prediction of BayesDel_addAF score based on the authors' recommendation, T(olerated) or  D(amaging). The score cutoff between D and T is 0.0692655."	Functional Predictions	http://fengbj-laboratory.org/BayesDel/BayesDel.html				true	
Funcotator	dbNSFP	BayesDel_addAF_rankscore	BayesDel_addAF_RS	A	Float	BayesDel addAF rankscore	BayesDel_addAF scores were ranked among all BayesDel_addAF scores in dbNSFP.  The rankscore is the ratio of the rank of the score over the total number of BayesDel_addAF scores in dbNSFP.	Functional Predictions	http://fengbj-laboratory.org/BayesDel/BayesDel.html				true	
Funcotator	dbNSFP	BayesDel_addAF_score	BayesDel_addAF_S	A	Float	BayesDel addAF score	"A deleteriousness preidction meta-score for SNVs and indels with inclusion of MaxAF.  See https  0.750927. The higher the score, the more likely the variant is pathogenic. The author suggested cutoff   between deleterious (D) and tolerated (T) is 0.0692655."	Functional Predictions	http://fengbj-laboratory.org/BayesDel/BayesDel.html				true	
Funcotator	dbNSFP	BayesDel_noAF_pred	BayesDel_noAF_pred	A	String	BayesDel noAF pred	"Prediction of BayesDel_noAF score based on the authors' recommendation, T(olerated) or  D(amaging). The score cutoff between D and T is -0.0570105."	Functional Predictions	http://fengbj-laboratory.org/BayesDel/BayesDel.html				true	
Funcotator	dbNSFP	BayesDel_noAF_rankscore	BayesDel_noAF_RS	A	Float	BayesDel noAF rankscore	BayesDel_noAF scores were ranked among all BayesDel_noAF scores in dbNSFP.  The rankscore is the ratio of the rank of the score over the total number of BayesDel_noAF scores in dbNSFP.	Functional Predictions	http://fengbj-laboratory.org/BayesDel/BayesDel.html				true	
Funcotator	dbNSFP	BayesDel_noAF_score	BayesDel_noAF_S	A	Float	BayesDel noAF score	"A deleteriousness preidction meta-score for SNVs and indels without inclusion of MaxAF.  See https  The higher the score, the more likely the variant is pathogenic. The author suggested cutoff between   deleterious (D) and tolerated (T) is -0.0570105."	Functional Predictions	http://fengbj-laboratory.org/BayesDel/BayesDel.html				true	
Funcotator	dbNSFP	DANN_rankscore	DANN_RS	A	Float	DANN rankscore	DANN scores were ranked among all DANN scores in dbNSFP. The rankscore is  the ratio of the rank of the score over the total number of DANN scores in dbNSFP.	Functional Predictions	https://cbcl.ics.uci.edu/public_data/DANN/					
Funcotator	dbNSFP	DANN_score	DANN_S	A	Float	DANN score	DANN is a functional prediction score retrained based on the training data  of CADD using deep neural network. Scores range from 0 to 1. A larger number indicate   a higher probability to be damaging. More information of this score can be found in  doi 10.1093/bioinformatics/btu703.	Functional Predictions	https://cbcl.ics.uci.edu/public_data/DANN/					
Funcotator	dbNSFP	DEOGEN2_pred	DEOGEN2_pred	A	String	DEOGEN2 pred	"Prediction of DEOGEN2 score based on the authors' recommendation, T(olerated) or  D(amaging). The score cutoff between D and T is 0.5."	Functional Predictions	https://deogen2.mutaframe.com/					
Funcotator	dbNSFP	DEOGEN2_rankscore	DEOGEN2_RS	A	Float	DEOGEN2 rankscore	DEOGEN2 scores were ranked among all DEOGEN2 scores in dbNSFP. The rankscore is  the ratio of the rank of the score over the total number of DEOGEN2 scores in dbNSFP.	Functional Predictions	https://deogen2.mutaframe.com/					
Funcotator	dbNSFP	DEOGEN2_score	DEOGEN2_S	A	Float	DEOGEN2 score	"A deleteriousness prediction score which incorporates heterogeneous information about  the molecular effects of the variants, the domains involved, the relevance of the gene and the   interactions in which it participates. It ranges from 0 to 1. The larger the score, the more   likely the variant is deleterious. The authors suggest a threshold of 0.5 for separating damaging   vs tolerant variants."	Functional Predictions	https://deogen2.mutaframe.com/					
Funcotator	dbNSFP	Eigen-PC-phred_coding	Eigen_PC_phred_coding	A	Float	Eigen-PC-phred coding	Eigen PC score in phred scale.	Functional Predictions	http://www.columbia.edu/~ii2135/eigen.html					
Funcotator	dbNSFP	Eigen-PC-raw_coding	Eigen_PC_raw_coding	A	Float	Eigen-PC-raw coding	Eigen PC score for genome-wide SNVs. A functional prediction score based on	Functional Predictions	http://www.columbia.edu/~ii2135/eigen.html					
Funcotator	dbNSFP	Eigen-PC-raw_coding_rankscore	Eigen_PC_raw_coding_RS	A	Float	Eigen-PC-raw coding rankscore	Eigen-PC-raw scores were ranked among all Eigen-PC-raw scores in  dbNSFP. The rankscore is the ratio of the rank of the score over the total number   of Eigen-PC-raw scores in dbNSFP.	Functional Predictions	http://www.columbia.edu/~ii2135/eigen.html					
Funcotator	dbNSFP	Eigen-phred_coding	Eigen_phred_coding	A	Float	Eigen-phred coding	Eigen score in phred scale.	Functional Predictions	http://www.columbia.edu/~ii2135/eigen.html					
Funcotator	dbNSFP	Eigen-raw_coding	Eigen_raw_coding	A	Float	Eigen-raw coding	"Eigen score for coding SNVs. A functional prediction score based on conservation,  allele frequencies, and deleteriousness prediction using an unsupervised learning method"	Functional Predictions	http://www.columbia.edu/~ii2135/eigen.html					
Funcotator	dbNSFP	Eigen-raw_coding_rankscore	Eigen_raw_coding_RS	A	Float	Eigen-raw coding rankscore	Eigen-raw scores were ranked among all Eigen-raw scores in dbNSFP. The rankscore  is the ratio of the rank of the score over the total number of Eigen-raw scores in dbNSFP.	Functional Predictions	http://www.columbia.edu/~ii2135/eigen.html					
Funcotator	dbNSFP	FATHMM_converted_rankscore	FATHMM_converted_RS	A	Float	FATHMM converted rankscore	"FATHMMori scores were first converted to  FATHMMnew=1-(FATHMMori+16.13)/26.77, then ranked among all FATHMMnew scores in dbNSFP.   The rankscore is the ratio of the rank of the score over the total number of FATHMMnew   scores in dbNSFP. If there are multiple scores, only the most damaging (largest)   rankscore is presented. The scores range from 0 to 1."	Functional Predictions	http://fathmm.biocompute.org.uk				true	
Funcotator	dbNSFP	FATHMM_pred	FATHMM_pred	A	String	FATHMM pred	"If a FATHMMori score is <=-1.5 (or rankscore >=0.81332) the corresponding nsSNV  is predicted as D(AMAGING); otherwise it is predicted as T(OLERATED).  Multiple predictions separated by ;, corresponding to Ensembl_proteinid."	Functional Predictions	http://fathmm.biocompute.org.uk				true	
Funcotator	dbNSFP	FATHMM_score	FATHMM_S	A	Float	FATHMM score	"FATHMM default score (weighted for human inherited-disease mutations with  Disease Ontology) (FATHMMori). Scores range from -16.13 to 10.64. The smaller the score   the more likely the SNP has damaging effect.  Multiple scores separated by ;, corresponding to Ensembl_proteinid."	Functional Predictions	http://fathmm.biocompute.org.uk				true	
Funcotator	dbNSFP	fathmm-MKL_coding_group	fathmm_MKL_coding_group	A	String	fathmm-MKL coding group	the groups of features (labeled A-J) used to obtained the score. More  details can be found in doi 10.1093/bioinformatics/btv009.	Functional Predictions	http://fathmm.biocompute.org.uk/fathmmMKL.htm				true	
Funcotator	dbNSFP	fathmm-MKL_coding_pred	fathmm_MKL_coding_pred	A	String	fathmm-MKL coding pred	If a fathmm-MKL_coding_score is >0.5 (or rankscore >0.28317)   the corresponding nsSNV is predicted as D(AMAGING); otherwise it is predicted as N(EUTRAL).129     fathmm-MKL_coding_group the groups of features (labeled A-J) used to obtained the score. More  details can be found in doi 10.1093/bioinformatics/btv009.	Functional Predictions	http://fathmm.biocompute.org.uk/fathmmMKL.htm				true	
Funcotator	dbNSFP	fathmm-MKL_coding_rankscore	fathmm_MKL_coding_RS	A	Float	fathmm-MKL coding rankscore	fathmm-MKL coding scores were ranked among all fathmm-MKL coding  scores in dbNSFP. The rankscore is the ratio of the rank of the score over the total number   of fathmm-MKL coding scores in dbNSFP.	Functional Predictions	http://fathmm.biocompute.org.uk/fathmmMKL.htm				true	
Funcotator	dbNSFP	fathmm-MKL_coding_score	fathmm_MKL_coding_S	A	Float	fathmm-MKL coding score	"fathmm-MKL p-values. Scores range from 0 to 1. SNVs with scores >0.5  are predicted to be deleterious, and those <0.5 are predicted to be neutral or benign.   Scores close to 0 or 1 are with the highest-confidence. Coding scores are trained using 10  groups of features. More details of the score can be found in   doi 10.1093/bioinformatics/btv009."	Functional Predictions	http://fathmm.biocompute.org.uk/fathmmMKL.htm				true	
